Country,State,Admin,Lat,Long,Population,Region,Continent
US,Idaho,Minidoka,42.85518524,-113.6357257,21039,Northern America,Northern America
US,Idaho,Nez Perce,46.32638236,-116.7500975,40408,Northern America,Northern America
US,Idaho,Oneida,42.1949428,-112.5407838,4531,Northern America,Northern America
US,Idaho,Owyhee,42.58016894,-116.1693871,11823,Northern America,Northern America
US,Idaho,Payette,44.00545243,-116.7647695,23951,Northern America,Northern America
US,Idaho,Power,42.69254894,-112.8395742,7681,Northern America,Northern America
US,Idaho,Shoshone,47.35364087,-115.8916749,12882,Northern America,Northern America
US,Idaho,Teton,43.75303583,-111.2056773,12142,Northern America,Northern America
US,Idaho,Twin Falls,42.35440512,-114.6685381,86878,Northern America,Northern America
US,Idaho,Valley,44.76728382,-115.5676773,11392,Northern America,Northern America
US,Idaho,Washington,44.45275475,-116.7847688,10194,Northern America,Northern America
US,Illinois,Adams,39.98815591,-91.18786813,65435,Northern America,Northern America
US,Illinois,Alexander,37.18049267,-89.32910838,5761,Northern America,Northern America
US,Illinois,Bond,38.88829622,-89.43534887,16426,Northern America,Northern America
US,Illinois,Boone,42.32359279,-88.82345779,53544,Northern America,Northern America
US,Illinois,Brown,39.96209138,-90.75068024,6578,Northern America,Northern America
US,Illinois,Bureau,41.40385234,-89.5283051,32628,Northern America,Northern America
US,Illinois,Calhoun,39.16840183,-90.66330078,4739,Northern America,Northern America
US,Illinois,Carroll,42.06823429,-89.93395545,14305,Northern America,Northern America
US,Illinois,Cass,39.96991073,-90.24734436,12147,Northern America,Northern America
US,Illinois,Champaign,40.13919438,-88.20046615,209689,Northern America,Northern America
US,Illinois,Christian,39.54581621,-89.27780482,32304,Northern America,Northern America
US,Illinois,Clark,39.33425789,-87.78705622,15441,Northern America,Northern America
US,Illinois,Clay,38.75388572,-88.48914513,13184,Northern America,Northern America
US,Illinois,Clinton,38.60704876,-89.42385254,37562,Northern America,Northern America
US,Illinois,Coles,39.51949084,-88.22358557,50621,Northern America,Northern America
US,Illinois,Cook,41.84144849,-87.81658794,5150233,Northern America,Northern America
US,Illinois,Crawford,39.0032229,-87.75954624,18667,Northern America,Northern America
US,Illinois,Cumberland,39.27432424,-88.2401158,10766,Northern America,Northern America
US,Illinois,DeKalb,41.89373302,-88.76958483,104897,Northern America,Northern America
US,Illinois,De Witt,40.17514519,-88.90959682,15638,Northern America,Northern America
US,Illinois,Douglas,39.76768052,-88.21854195,19465,Northern America,Northern America
US,Illinois,DuPage,41.85116968,-88.08642662,922921,Northern America,Northern America
US,Illinois,Edgar,39.6809186,-87.74759563,17161,Northern America,Northern America
US,Illinois,Edwards,38.41353228,-88.05720863,6395,Northern America,Northern America
US,Illinois,Effingham,39.05935711,-88.58969584,34008,Northern America,Northern America
US,Illinois,Fayette,39.00072038,-89.02452658,21336,Northern America,Northern America
US,Illinois,Ford,40.59706922,-88.22350769,12961,Northern America,Northern America
US,Illinois,Franklin,37.99189086,-88.92567818,38469,Northern America,Northern America
US,Illinois,Fulton,40.47289135,-90.20862357,34340,Northern America,Northern America
US,Illinois,Gallatin,37.76430935,-88.22953869,4828,Northern America,Northern America
US,Illinois,Greene,39.35907414,-90.388865,12969,Northern America,Northern America
US,Illinois,Grundy,41.28569601,-88.41905692,51054,Northern America,Northern America
US,Illinois,Hamilton,38.08163641,-88.53883373,8116,Northern America,Northern America
US,Illinois,Hancock,40.40423981,-91.16313899,17708,Northern America,Northern America
US,Illinois,Hardin,37.51810645,-88.26873022,3821,Northern America,Northern America
US,Illinois,Henderson,40.81908672,-90.92491462,6646,Northern America,Northern America
US,Illinois,Henry,41.3533994,-90.13296166,48913,Northern America,Northern America
US,Illinois,Iroquois,40.74717633,-87.82466784,27114,Northern America,Northern America
US,Illinois,Jackson,37.78595185,-89.38232563,56750,Northern America,Northern America
US,Illinois,Jasper,39.01054275,-88.15437049,9610,Northern America,Northern America
US,Illinois,Jefferson,38.29980057,-88.9240025,37684,Northern America,Northern America
US,Illinois,Jersey,39.08869046,-90.35393073,21773,Northern America,Northern America
US,Illinois,Jo Daviess,42.36542373,-90.21094405,21235,Northern America,Northern America
US,Illinois,Johnson,37.45939802,-88.88165419,12417,Northern America,Northern America
US,Illinois,Kane,41.93842729,-88.42861412,532403,Northern America,Northern America
US,Illinois,Kankakee,41.13746989,-87.86205334,109862,Northern America,Northern America
US,Illinois,Kendall,41.59081014,-88.42869583,128990,Northern America,Northern America
US,Illinois,Knox,40.93148779,-90.2133034,49699,Northern America,Northern America
US,Illinois,Lake,42.3224907,-88.00367925,696535,Northern America,Northern America
US,Illinois,LaSalle,41.3442613,-88.88633881,108669,Northern America,Northern America
US,Illinois,Lawrence,38.71987914,-87.72884035,15678,Northern America,Northern America
US,Illinois,Lee,41.74583951,-89.29977132,34096,Northern America,Northern America
US,Illinois,Livingston,40.89188292,-88.55784752,35648,Northern America,Northern America
US,Illinois,Logan,40.12581572,-89.36638784,28618,Northern America,Northern America
US,Illinois,McDonough,40.45674722,-90.67775541,29682,Northern America,Northern America
US,Illinois,McHenry,42.32451172,-88.45248227,307774,Northern America,Northern America
US,Illinois,McLean,40.48996987,-88.84621113,171517,Northern America,Northern America
US,Illinois,Macon,39.86064913,-88.96342505,104009,Northern America,Northern America
US,Illinois,Macoupin,39.26119767,-89.92424028,44926,Northern America,Northern America
US,Illinois,Madison,38.83042506,-89.90422563,262966,Northern America,Northern America
US,Illinois,Marion,38.64963204,-88.91899208,37205,Northern America,Northern America
US,Illinois,Marshall,41.0327901,-89.34510444,11438,Northern America,Northern America
US,Illinois,Mason,40.23917274,-89.91824452,13359,Northern America,Northern America
US,Illinois,Massac,37.22078441,-88.71036614,13772,Northern America,Northern America
US,Illinois,Menard,40.02742725,-89.80246001,12196,Northern America,Northern America
US,Illinois,Mercer,41.20596782,-90.74290052,15437,Northern America,Northern America
US,Illinois,Monroe,38.27594376,-90.17761038,34637,Northern America,Northern America
US,Illinois,Montgomery,39.23198845,-89.47809254,28414,Northern America,Northern America
US,Illinois,Morgan,39.71654544,-90.20255104,33658,Northern America,Northern America
US,Illinois,Moultrie,39.64187451,-88.62099969,14501,Northern America,Northern America
US,Illinois,Ogle,42.04165196,-89.32184679,50643,Northern America,Northern America
US,Illinois,Peoria,40.78702156,-89.76078901,179179,Northern America,Northern America
US,Illinois,Perry,38.08510853,-89.36856219,20916,Northern America,Northern America
US,Illinois,Piatt,40.01360584,-88.59319339,16344,Northern America,Northern America
US,Illinois,Pike,39.62265059,-90.8877017,15561,Northern America,Northern America
US,Illinois,Pope,37.41391284,-88.56152109,4177,Northern America,Northern America
US,Illinois,Pulaski,37.22631423,-89.13085001,5335,Northern America,Northern America
US,Illinois,Putnam,41.2013541,-89.2869272,5739,Northern America,Northern America
US,Illinois,Randolph,38.05095369,-89.82512254,31782,Northern America,Northern America
US,Illinois,Richland,38.71240969,-88.08475366,15513,Northern America,Northern America
US,Illinois,Rock Island,41.46613806,-90.57042164,141879,Northern America,Northern America
US,Illinois,St. Clair,38.46996033,-89.93063427,259686,Northern America,Northern America
US,Illinois,Saline,37.75332999,-88.54119706,23491,Northern America,Northern America
US,Illinois,Sangamon,39.75836914,-89.65872023,194672,Northern America,Northern America
US,Illinois,Schuyler,40.1571798,-90.61114163,6768,Northern America,Northern America
US,Illinois,Scott,39.6429169,-90.47814431,4951,Northern America,Northern America
US,Illinois,Shelby,39.39133527,-88.80611122,21634,Northern America,Northern America
US,Illinois,Stark,41.09309773,-89.79745866,5342,Northern America,Northern America
US,Illinois,Stephenson,42.35129217,-89.662598,44498,Northern America,Northern America
US,Illinois,Tazewell,40.50716185,-89.51404662,131803,Northern America,Northern America
US,Illinois,Union,37.47119609,-89.25548938,16653,Northern America,Northern America
US,Illinois,Vermilion,40.18417171,-87.73384359,75758,Northern America,Northern America
US,Illinois,Wabash,38.44272901,-87.84922065,11520,Northern America,Northern America
US,Illinois,Warren,40.84925021,-90.6147432,16844,Northern America,Northern America
US,Illinois,Washington,38.35309213,-89.40982703,13887,Northern America,Northern America
US,Illinois,Wayne,38.42955355,-88.42586459,16215,Northern America,Northern America
US,Illinois,White,38.08706198,-88.17657461,13537,Northern America,Northern America
US,Illinois,Whiteside,41.75509713,-89.91556058,55175,Northern America,Northern America
US,Illinois,Will,41.44619267,-87.97862712,690743,Northern America,Northern America
US,Illinois,Williamson,37.73033511,-88.92994027,66597,Northern America,Northern America
US,Illinois,Winnebago,42.33641854,-89.16085327,282572,Northern America,Northern America
US,Illinois,Woodford,40.78579374,-89.20973757,38459,Northern America,Northern America
US,Indiana,Adams,40.7457653,-84.93671406,35777,Northern America,Northern America
US,Indiana,Allen,41.09194313,-85.06800636,379299,Northern America,Northern America
US,Indiana,Bartholomew,39.20744865,-85.89558181,83779,Northern America,Northern America
US,Indiana,Benton,40.60626947,-87.31093999,8748,Northern America,Northern America
US,Indiana,Blackford,40.47388153,-85.32499702,11758,Northern America,Northern America
US,Indiana,Boone,40.0509304,-86.46841646,67843,Northern America,Northern America
US,Indiana,Brown,39.19605589,-86.22868909,15092,Northern America,Northern America
US,Indiana,Carroll,40.5807832,-86.56198812,20257,Northern America,Northern America
US,Indiana,Cass,40.76135835,-86.34830753,37689,Northern America,Northern America
US,Indiana,Clark,38.48015445,-85.70510334,118302,Northern America,Northern America
US,Indiana,Clay,39.39561833,-87.11723506,26225,Northern America,Northern America
US,Indiana,Clinton,40.30319754,-86.47277257,32399,Northern America,Northern America
US,Indiana,Crawford,38.28814402,-86.44518825,10577,Northern America,Northern America
US,Indiana,Daviess,38.70186039,-87.07185406,33351,Northern America,Northern America
US,Indiana,Dearborn,39.14647946,-84.97333539,49458,Northern America,Northern America
US,Indiana,Decatur,39.30712658,-85.50087166,26559,Northern America,Northern America
US,Indiana,DeKalb,41.39804622,-84.99906934,43475,Northern America,Northern America
US,Indiana,Delaware,40.22787247,-85.39732772,114135,Northern America,Northern America
US,Indiana,Dubois,38.36597551,-86.8792417,42736,Northern America,Northern America
US,Indiana,Elkhart,41.59761169,-85.85875695,206341,Northern America,Northern America
US,Indiana,Fayette,39.63684962,-85.17797541,23102,Northern America,Northern America
US,Indiana,Floyd,38.32117957,-85.90385377,78522,Northern America,Northern America
US,Indiana,Fountain,40.12361933,-87.24217689,16346,Northern America,Northern America
US,Indiana,Franklin,39.4142482,-85.06062647,22758,Northern America,Northern America
US,Indiana,Fulton,41.0469907,-86.26252745,19974,Northern America,Northern America
US,Indiana,Gibson,38.30393723,-87.58054938,33659,Northern America,Northern America
US,Indiana,Grant,40.51587228,-85.65468702,65769,Northern America,Northern America
US,Indiana,Greene,39.03630547,-86.96223202,31922,Northern America,Northern America
US,Indiana,Hamilton,40.07306535,-86.05244729,338011,Northern America,Northern America
US,Indiana,Hancock,39.82304555,-85.77566351,78168,Northern America,Northern America
US,Indiana,Harrison,38.19467379,-86.10948271,40515,Northern America,Northern America
US,Indiana,Hendricks,39.76719009,-86.51037283,170311,Northern America,Northern America
US,Indiana,Henry,39.93029017,-85.39625719,47972,Northern America,Northern America
US,Indiana,Howard,40.48527731,-86.11351892,82544,Northern America,Northern America
US,Indiana,Huntington,40.82907273,-85.48822092,36520,Northern America,Northern America
US,Indiana,Jackson,38.9091582,-86.03851889,44231,Northern America,Northern America
US,Indiana,Jasper,41.02078733,-87.11553319,33562,Northern America,Northern America
US,Indiana,Jay,40.43781032,-85.00576229,20436,Northern America,Northern America
US,Indiana,Jefferson,38.78576239,-85.43633383,32308,Northern America,Northern America
US,Indiana,Jennings,38.99588883,-85.62710784,27735,Northern America,Northern America
US,Indiana,Johnson,39.48994426,-86.10149107,158167,Northern America,Northern America
US,Indiana,Knox,38.68861576,-87.4194665,36594,Northern America,Northern America
US,Indiana,Kosciusko,41.24521668,-85.86312322,79456,Northern America,Northern America
US,Indiana,LaGrange,41.64232188,-85.42674232,39614,Northern America,Northern America
US,Indiana,Lake,41.41874274,-87.38277575,485493,Northern America,Northern America
US,Indiana,LaPorte,41.54366008,-86.74072188,109888,Northern America,Northern America
US,Indiana,Lawrence,38.84112637,-86.48361629,45370,Northern America,Northern America
US,Indiana,Madison,40.16143691,-85.71964711,129569,Northern America,Northern America
US,Indiana,Marion,39.78163624,-86.13826325,964582,Northern America,Northern America
US,Indiana,Marshall,41.32467367,-86.26185087,46258,Northern America,Northern America
US,Indiana,Martin,38.7099921,-86.80373186,10255,Northern America,Northern America
US,Indiana,Miami,40.76940965,-86.04525048,35516,Northern America,Northern America
US,Indiana,Monroe,39.16130004,-86.52414358,148431,Northern America,Northern America
US,Indiana,Montgomery,40.04034823,-86.89335024,38338,Northern America,Northern America
US,Indiana,Morgan,39.47899078,-86.44573375,70489,Northern America,Northern America
US,Indiana,Newton,40.95610449,-87.39635768,13984,Northern America,Northern America
US,Indiana,Noble,41.39672484,-85.41966713,47744,Northern America,Northern America
US,Indiana,Ohio,38.955305,-84.96515993,5875,Northern America,Northern America
US,Indiana,Orange,38.5411892,-86.49523093,19646,Northern America,Northern America
US,Indiana,Owen,39.31145587,-86.83900724,20799,Northern America,Northern America
US,Indiana,Parke,39.77202286,-87.20375833,16937,Northern America,Northern America
US,Indiana,Perry,38.07809328,-86.63741946,19169,Northern America,Northern America
US,Indiana,Pike,38.40112197,-87.23574907,12389,Northern America,Northern America
US,Indiana,Porter,41.45986947,-87.06848888,170389,Northern America,Northern America
US,Indiana,Posey,38.02097333,-87.86480429,25427,Northern America,Northern America
US,Indiana,Pulaski,41.04166107,-86.69890683,12353,Northern America,Northern America
US,Indiana,Putnam,39.66437981,-86.84517605,37576,Northern America,Northern America
US,Indiana,Randolph,40.15734772,-85.01139319,24665,Northern America,Northern America
US,Indiana,Ripley,39.10235626,-85.26212744,28324,Northern America,Northern America
US,Indiana,Rush,39.62002287,-85.4655599,16581,Northern America,Northern America
US,Indiana,St. Joseph,41.61756781,-86.29040834,271826,Northern America,Northern America
US,Indiana,Scott,38.68672078,-85.74627859,23873,Northern America,Northern America
US,Indiana,Shelby,39.52305623,-85.7915857,44729,Northern America,Northern America
US,Indiana,Spencer,38.01519732,-87.0079644,20277,Northern America,Northern America
US,Indiana,Starke,41.27890281,-86.64686895,22995,Northern America,Northern America
US,Indiana,Steuben,41.64423868,-85.00101094,34594,Northern America,Northern America
US,Indiana,Sullivan,39.08952258,-87.41414469,20669,Northern America,Northern America
US,Indiana,Switzerland,38.82767338,-85.03022429,10751,Northern America,Northern America
US,Indiana,Tippecanoe,40.38872739,-86.89413959,195732,Northern America,Northern America
US,Indiana,Tipton,40.31123252,-86.05234925,15148,Northern America,Northern America
US,Indiana,Union,39.62550777,-84.92497066,7054,Northern America,Northern America
US,Indiana,Vanderburgh,38.02658833,-87.58763124,181451,Northern America,Northern America
US,Indiana,Vermillion,39.8523352,-87.46160542,15498,Northern America,Northern America
US,Indiana,Vigo,39.42944561,-87.39169027,107038,Northern America,Northern America
US,Indiana,Wabash,40.84704239,-85.79328272,30996,Northern America,Northern America
US,Indiana,Warren,40.34728141,-87.35602659,8265,Northern America,Northern America
US,Indiana,Warrick,38.08922676,-87.2716085,62998,Northern America,Northern America
US,Indiana,Washington,38.60219804,-86.1049363,28036,Northern America,Northern America
US,Indiana,Wayne,39.8633444,-85.01044989,65884,Northern America,Northern America
US,Indiana,Wells,40.72934187,-85.22132966,28296,Northern America,Northern America
US,Indiana,White,40.74911165,-86.86492015,24102,Northern America,Northern America
US,Indiana,Whitley,41.13863784,-85.50791236,33964,Northern America,Northern America
US,Iowa,Adair,41.33075609,-94.47105874,7152,Northern America,Northern America
US,Iowa,Adams,41.02903567,-94.69932645,3602,Northern America,Northern America
US,Iowa,Allamakee,43.28383218,-91.37860922,13687,Northern America,Northern America
US,Iowa,Appanoose,40.74324454,-92.86865906,12426,Northern America,Northern America
US,Iowa,Audubon,41.6844628,-94.90581859,5496,Northern America,Northern America
US,Iowa,Benton,42.08011739,-92.06463573,25645,Northern America,Northern America
US,Iowa,Black Hawk,42.4704581,-92.30524729,131228,Northern America,Northern America
US,Iowa,Boone,42.03657094,-93.9313999,26234,Northern America,Northern America
US,Iowa,Bremer,42.77461496,-92.31795937,25062,Northern America,Northern America
US,Iowa,Buchanan,42.4709188,-91.83510825,21175,Northern America,Northern America
US,Iowa,Buena Vista,42.73545875,-95.15100162,19620,Northern America,Northern America
US,Iowa,Butler,42.73172833,-92.79015971,14439,Northern America,Northern America
US,Iowa,Calhoun,42.38521079,-94.64046046,9668,Northern America,Northern America
US,Iowa,Carroll,42.03617207,-94.86032705,20165,Northern America,Northern America
US,Iowa,Cass,41.33149454,-94.92792482,12836,Northern America,Northern America
US,Iowa,Cedar,41.77233777,-91.13246684,18627,Northern America,Northern America
US,Iowa,Cerro Gordo,43.08177563,-93.2612239,42450,Northern America,Northern America
US,Iowa,Cherokee,42.73538914,-95.62389402,11235,Northern America,Northern America
US,Iowa,Chickasaw,43.06001295,-92.31773347,11933,Northern America,Northern America
US,Iowa,Clarke,41.02868181,-93.78499767,9395,Northern America,Northern America
US,Iowa,Clay,43.08247182,-95.15096481,16016,Northern America,Northern America
US,Iowa,Clayton,42.84443388,-91.34133693,17549,Northern America,Northern America
US,Iowa,Clinton,41.89981633,-90.53275096,46429,Northern America,Northern America
US,Iowa,Crawford,42.03718237,-95.3819718,16820,Northern America,Northern America
US,Iowa,Dallas,41.68560356,-94.04127625,93453,Northern America,Northern America
US,Iowa,Davis,40.74773536,-92.41005468,9000,Northern America,Northern America
US,Iowa,Decatur,40.73742757,-93.78645949,7870,Northern America,Northern America
US,Iowa,Delaware,42.47104597,-91.3664492,17011,Northern America,Northern America
US,Iowa,Des Moines,40.92012606,-91.18326592,38967,Northern America,Northern America
US,Iowa,Dickinson,43.37787725,-95.1510206,17258,Northern America,Northern America
US,Iowa,Dubuque,42.46815349,-90.88181925,97311,Northern America,Northern America
US,Iowa,Emmet,43.37782951,-94.67858943,9208,Northern America,Northern America
US,Iowa,Fayette,42.86271799,-91.8441231,19650,Northern America,Northern America
US,Iowa,Floyd,43.0600053,-92.78940097,15642,Northern America,Northern America
US,Iowa,Franklin,42.73270384,-93.26256925,10070,Northern America,Northern America
US,Iowa,Fremont,40.7454272,-95.60129045,6960,Northern America,Northern America
US,Iowa,Greene,42.03614551,-94.39658081,8888,Northern America,Northern America
US,Iowa,Grundy,42.40183723,-92.78829551,12232,Northern America,Northern America
US,Iowa,Guthrie,41.68378965,-94.50111014,10689,Northern America,Northern America
US,Iowa,Hamilton,42.38382428,-93.70197703,14773,Northern America,Northern America
US,Iowa,Hancock,43.08178477,-93.73454884,10630,Northern America,Northern America
US,Iowa,Hardin,42.38353877,-93.23654611,16846,Northern America,Northern America
US,Iowa,Harrison,41.68330137,-95.81558439,14049,Northern America,Northern America
US,Iowa,Henry,40.98767962,-91.54436349,19954,Northern America,Northern America
US,Iowa,Howard,43.35671042,-92.31702714,9158,Northern America,Northern America
US,Iowa,Humboldt,42.7764426,-94.20722537,9558,Northern America,Northern America
US,Iowa,Ida,42.38696136,-95.51355387,6860,Northern America,Northern America
US,Iowa,Iowa,41.68630265,-92.0643373,16184,Northern America,Northern America
US,Iowa,Jackson,42.17178824,-90.57354837,19439,Northern America,Northern America
US,Iowa,Jasper,41.68576082,-93.05567785,37185,Northern America,Northern America
US,Iowa,Jefferson,41.03192394,-91.94849466,18295,Northern America,Northern America
US,Iowa,Johnson,41.67169354,-91.58754744,151140,Northern America,Northern America
US,Iowa,Jones,42.12118609,-91.13139641,20681,Northern America,Northern America
US,Iowa,Keokuk,41.33649833,-92.1785067,10246,Northern America,Northern America
US,Iowa,Kossuth,43.20405458,-94.20691791,14813,Northern America,Northern America
US,Iowa,Lee,40.64181461,-91.48183025,33657,Northern America,Northern America
US,Iowa,Linn,42.07923082,-91.59809485,226706,Northern America,Northern America
US,Iowa,Louisa,41.21842119,-91.26102611,11035,Northern America,Northern America
US,Iowa,Lucas,41.02958964,-93.32780803,8600,Northern America,Northern America
US,Iowa,Lyon,43.38107862,-96.20926845,11755,Northern America,Northern America
US,Iowa,Madison,41.33081904,-94.01554631,16338,Northern America,Northern America
US,Iowa,Mahaska,41.33521503,-92.64083907,22095,Northern America,Northern America
US,Iowa,Marion,41.33445101,-93.09934783,33253,Northern America,Northern America
US,Iowa,Marshall,42.03586837,-92.9990819,39369,Northern America,Northern America
US,Iowa,Mills,41.03299766,-95.61920963,15109,Northern America,Northern America
US,Iowa,Mitchell,43.35638371,-92.78887719,10586,Northern America,Northern America
US,Iowa,Monona,42.05220391,-95.95743843,8615,Northern America,Northern America
US,Iowa,Monroe,41.02988815,-92.8690667,7707,Northern America,Northern America
US,Iowa,Montgomery,41.03018714,-95.15642896,9917,Northern America,Northern America
US,Iowa,Muscatine,41.48370744,-91.1121697,42664,Northern America,Northern America
US,Iowa,O'Brien,43.08310673,-95.62474482,13753,Northern America,Northern America
US,Iowa,Osceola,43.37824276,-95.62422844,5958,Northern America,Northern America
US,Iowa,Page,40.7393172,-95.1497813,15107,Northern America,Northern America
US,Iowa,Palo Alto,43.08193849,-94.67824621,8886,Northern America,Northern America
US,Iowa,Plymouth,42.737633,-96.21366621,25177,Northern America,Northern America
US,Iowa,Pocahontas,42.73420133,-94.67862564,6619,Northern America,Northern America
US,Iowa,Polk,41.68679484,-93.57767461,490161,Northern America,Northern America
US,Iowa,Pottawattamie,41.33640314,-95.53907776,93206,Northern America,Northern America
US,Iowa,Poweshiek,41.68625425,-92.53155731,18504,Northern America,Northern America
US,Iowa,Ringgold,40.73518949,-94.24368535,4894,Northern America,Northern America
US,Iowa,Sac,42.38624071,-95.10547892,9721,Northern America,Northern America
US,Iowa,Scott,41.63935978,-90.61959493,172943,Northern America,Northern America
US,Iowa,Shelby,41.6850066,-95.31015553,11454,Northern America,Northern America
US,Iowa,Sioux,43.08221074,-96.1767568,34855,Northern America,Northern America
US,Iowa,Story,42.03621213,-93.46499005,97117,Northern America,Northern America
US,Iowa,Tama,42.07991767,-92.53266945,16854,Northern America,Northern America
US,Iowa,Taylor,40.73710579,-94.69778563,6121,Northern America,Northern America
US,Iowa,Union,41.0277278,-94.24234847,12241,Northern America,Northern America
US,Iowa,Van Buren,40.75326764,-91.95017958,7044,Northern America,Northern America
US,Iowa,Wapello,41.03064984,-92.40954728,34969,Northern America,Northern America
US,Iowa,Warren,41.33559454,-93.56007641,51466,Northern America,Northern America
US,Iowa,Washington,41.33577126,-91.71725711,21965,Northern America,Northern America
US,Iowa,Wayne,40.73969028,-93.32752197,6441,Northern America,Northern America
US,Iowa,Webster,42.42853483,-94.17987389,35904,Northern America,Northern America
US,Iowa,Winnebago,43.37751174,-93.73407298,10354,Northern America,Northern America
US,Iowa,Winneshiek,43.29094334,-91.84422722,19991,Northern America,Northern America
US,Iowa,Woodbury,42.38979414,-96.0459439,103107,Northern America,Northern America
US,Iowa,Worth,43.37750768,-93.26087602,7381,Northern America,Northern America
US,Iowa,Wright,42.73305373,-93.73515113,12562,Northern America,Northern America
US,Kansas,Allen,37.88582951,-95.30030847,12369,Northern America,Northern America
US,Kansas,Anderson,38.21413251,-95.29272815,7858,Northern America,Northern America
US,Kansas,Atchison,39.53185661,-95.30870026,16073,Northern America,Northern America
US,Kansas,Barber,37.2288586,-98.68460053,4427,Northern America,Northern America
US,Kansas,Barton,38.47889676,-98.75636726,25779,Northern America,Northern America
US,Kansas,Bourbon,37.85508555,-94.84865997,14534,Northern America,Northern America
US,Kansas,Brown,39.82652589,-95.56421698,9564,Northern America,Northern America
US,Kansas,Butler,37.78134351,-96.83878537,66911,Northern America,Northern America
US,Kansas,Chase,38.30292938,-96.59563862,2648,Northern America,Northern America
US,Kansas,Chautauqua,37.14994405,-96.2454192,3250,Northern America,Northern America
US,Kansas,Cherokee,37.16928494,-94.8462897,19939,Northern America,Northern America
US,Kansas,Cheyenne,39.78580976,-101.7318201,2657,Northern America,Northern America
US,Kansas,Clark,37.23577007,-99.81883015,1994,Northern America,Northern America
US,Kansas,Clay,39.34948772,-97.16518128,8002,Northern America,Northern America
US,Kansas,Cloud,39.48028352,-97.64925343,8786,Northern America,Northern America
US,Kansas,Coffey,38.2365018,-95.73379515,8179,Northern America,Northern America
US,Kansas,Comanche,37.1911452,-99.27113247,1700,Northern America,Northern America
US,Kansas,Cowley,37.23781842,-96.83776647,34908,Northern America,Northern America
US,Kansas,Crawford,37.50675523,-94.85245778,38818,Northern America,Northern America
US,Kansas,Decatur,39.78468441,-100.4594081,2827,Northern America,Northern America
US,Kansas,Dickinson,38.86600962,-97.15532383,18466,Northern America,Northern America
US,Kansas,Doniphan,39.79067154,-95.14056866,7600,Northern America,Northern America
US,Kansas,Douglas,38.88503636,-95.2925121,122259,Northern America,Northern America
US,Kansas,Edwards,37.88735543,-99.31263309,2798,Northern America,Northern America
US,Kansas,Elk,37.45338105,-96.24369667,2530,Northern America,Northern America
US,Kansas,Ellis,38.91458712,-99.31751551,28553,Northern America,Northern America
US,Kansas,Ellsworth,38.69677695,-98.20462799,6102,Northern America,Northern America
US,Kansas,Finney,38.04340344,-100.7381938,36467,Northern America,Northern America
US,Kansas,Ford,37.69200114,-99.88825298,33619,Northern America,Northern America
US,Kansas,Franklin,38.56443815,-95.28644341,25544,Northern America,Northern America
US,Kansas,Geary,38.99871131,-96.7577178,31670,Northern America,Northern America
US,Kansas,Gove,38.91588178,-100.4829321,2636,Northern America,Northern America
US,Kansas,Graham,39.34987223,-99.88332493,2482,Northern America,Northern America
US,Kansas,Grant,37.56227336,-101.3079758,7150,Northern America,Northern America
US,Kansas,Gray,37.73836671,-100.4369088,5988,Northern America,Northern America
US,Kansas,Greeley,38.4808095,-101.8061079,1232,Northern America,Northern America
US,Kansas,Greenwood,37.8774388,-96.23250453,5982,Northern America,Northern America
US,Kansas,Hamilton,37.99978709,-101.7921066,2539,Northern America,Northern America
US,Kansas,Harper,37.19175361,-98.07578384,5436,Northern America,Northern America
US,Kansas,Harvey,38.04293782,-97.42747573,34429,Northern America,Northern America
US,Kansas,Haskell,37.5620394,-100.8710738,3968,Northern America,Northern America
US,Kansas,Hodgeman,38.08780079,-99.89829881,1794,Northern America,Northern America
US,Kansas,Jackson,39.41673394,-95.79356799,13171,Northern America,Northern America
US,Kansas,Jefferson,39.2347941,-95.38289232,19043,Northern America,Northern America
US,Kansas,Jewell,39.78470589,-98.21820662,2879,Northern America,Northern America
US,Kansas,Johnson,38.88548175,-94.82250877,602401,Northern America,Northern America
US,Kansas,Kearny,38.00017981,-101.321681,3838,Northern America,Northern America
US,Kansas,Kingman,37.55909527,-98.13638678,7152,Northern America,Northern America
US,Kansas,Kiowa,37.55848695,-99.2856537,2475,Northern America,Northern America
US,Kansas,Labette,37.19113093,-95.29849679,19618,Northern America,Northern America
US,Kansas,Lane,38.48119447,-100.4660754,1535,Northern America,Northern America
US,Kansas,Leavenworth,39.20183497,-95.03620809,81758,Northern America,Northern America
US,Kansas,Lincoln,39.04549684,-98.20756994,2962,Northern America,Northern America
US,Kansas,Linn,38.21267844,-94.84254089,9703,Northern America,Northern America
US,Kansas,Logan,38.91735806,-101.148475,2794,Northern America,Northern America
US,Kansas,Lyon,38.45576156,-96.15275715,33195,Northern America,Northern America
US,Kansas,McPherson,38.39184858,-97.64769869,28542,Northern America,Northern America
US,Kansas,Marion,38.35855394,-97.0985251,11884,Northern America,Northern America
US,Kansas,Marshall,39.78359669,-96.52278974,9707,Northern America,Northern America
US,Kansas,Meade,37.23859987,-100.364831,4033,Northern America,Northern America
US,Kansas,Miami,38.56383358,-94.83832189,34237,Northern America,Northern America
US,Kansas,Mitchell,39.39331582,-98.20906732,5979,Northern America,Northern America
US,Kansas,Montgomery,37.19236568,-95.74329258,31829,Northern America,Northern America
US,Kansas,Morris,38.68827511,-96.65128437,5620,Northern America,Northern America
